Epoch,Stage,Train_Loss,Val_Phys_RMSE,M1_MAE,M1_RelErr(%),M2_MAE,M2_RelErr(%),M3_MAE,M3_RelErr(%),Time_Cost(s)
187,1,0.0146,2.9779e+02,2.2309e+01,0.60,1.4909e+02,36222.98,1.3214e+02,2080.14,0.2
188,1,0.0151,2.9621e+02,1.9287e+01,0.58,1.4875e+02,36159.77,1.3178e+02,2076.25,0.3
189,1,0.0143,2.9688e+02,1.9945e+01,0.58,1.4882e+02,36158.02,1.3186e+02,2076.61,0.3
190,1,0.0136,2.9602e+02,1.8968e+01,0.57,1.4871e+02,36163.86,1.3174e+02,2075.75,0.2
191,1,0.0139,2.9579e+02,1.9315e+01,0.57,1.4866e+02,36176.19,1.3169e+02,2075.16,0.2
192,1,0.0149,2.9504e+02,2.4472e+01,0.63,1.4821e+02,36148.87,1.3122e+02,2068.92,0.2
193,1,0.0175,3.0017e+02,2.8243e+01,0.67,1.4929e+02,36066.51,1.3234e+02,2083.15,0.3
194,1,0.0184,2.9662e+02,1.9975e+01,0.60,1.4869e+02,36103.14,1.3171e+02,2075.60,0.3
195,1,0.0156,2.9615e+02,1.9025e+01,0.58,1.4876e+02,36218.41,1.3180e+02,2075.64,0.3
196,1,0.0146,2.9499e+02,2.2541e+01,0.60,1.4838e+02,36216.16,1.3140e+02,2072.12,0.2
197,1,0.0156,2.9578e+02,1.9982e+01,0.59,1.4851e+02,36082.44,1.3153e+02,2072.36,0.2
198,1,0.0155,2.9812e+02,2.2062e+01,0.60,1.4904e+02,36122.39,1.3208e+02,2079.27,0.3
199,1,0.0156,2.9906e+02,2.5312e+01,0.64,1.4937e+02,36226.17,1.3244e+02,2084.49,0.3
200,1,0.0160,2.9559e+02,1.9298e+01,0.60,1.4852e+02,36108.11,1.3153e+02,2073.62,0.2
201,1,0.0145,2.9504e+02,2.1841e+01,0.60,1.4845e+02,36221.74,1.3148e+02,2073.53,0.3
202,1,0.0139,2.9591e+02,1.8275e+01,0.57,1.4882e+02,36188.94,1.3187e+02,2078.09,0.2
203,1,0.0133,2.9591e+02,1.7981e+01,0.56,1.4878e+02,36166.19,1.3181e+02,2076.99,0.3
204,1,0.0131,2.9546e+02,1.9406e+01,0.57,1.4853e+02,36173.06,1.3156e+02,2073.52,0.2
205,1,0.0135,2.9644e+02,1.9082e+01,0.58,1.4888e+02,36212.75,1.3192e+02,2078.31,0.3
206,1,0.0130,2.9593e+02,1.8525e+01,0.56,1.4877e+02,36205.33,1.3182e+02,2077.22,0.2
207,1,0.0128,2.9603e+02,1.8337e+01,0.56,1.4879e+02,36174.84,1.3183e+02,2077.10,0.3
208,1,0.0127,2.9637e+02,1.8534e+01,0.56,1.4877e+02,36183.91,1.3180e+02,2075.77,0.2
209,1,0.0129,2.9567e+02,1.8877e+01,0.56,1.4865e+02,36194.66,1.3168e+02,2075.37,0.3
210,1,0.0136,2.9741e+02,2.0738e+01,0.58,1.4901e+02,36146.29,1.3206e+02,2079.54,0.2
211,1,0.0134,2.9543e+02,1.9348e+01,0.58,1.4853e+02,36125.13,1.3155e+02,2073.34,0.2
212,1,0.0136,2.9672e+02,1.9494e+01,0.57,1.4897e+02,36170.92,1.3202e+02,2080.25,0.2
213,1,0.0133,2.9565e+02,1.8439e+01,0.56,1.4862e+02,36127.71,1.3165e+02,2074.69,0.2
214,1,0.0134,2.9706e+02,1.9616e+01,0.57,1.4897e+02,36185.07,1.3202e+02,2079.06,0.2
215,1,0.0130,2.9626e+02,1.8357e+01,0.56,1.4879e+02,36169.21,1.3182e+02,2077.10,0.3
216,1,0.0126,2.9573e+02,1.8240e+01,0.56,1.4869e+02,36189.95,1.3172e+02,2075.46,0.3
217,1,0.0126,2.9558e+02,1.8304e+01,0.56,1.4863e+02,36152.72,1.3166e+02,2075.30,0.2
218,1,0.0128,2.9570e+02,1.8319e+01,0.56,1.4865e+02,36143.27,1.3168e+02,2074.88,0.3
219,1,0.0126,2.9610e+02,1.8361e+01,0.56,1.4871e+02,36128.70,1.3174e+02,2075.98,0.2
220,1,0.0125,2.9628e+02,1.8217e+01,0.55,1.4878e+02,36155.38,1.3181e+02,2076.41,0.2
221,1,0.0125,2.9684e+02,1.8822e+01,0.56,1.4890e+02,36166.66,1.3194e+02,2078.04,0.2
222,1,0.0126,2.9618e+02,1.8208e+01,0.55,1.4877e+02,36177.29,1.3181e+02,2076.57,0.2
223,1,0.0128,2.9586e+02,1.8241e+01,0.56,1.4867e+02,36136.37,1.3170e+02,2075.38,0.2
224,1,0.0124,2.9598e+02,1.8296e+01,0.55,1.4871e+02,36167.16,1.3174e+02,2075.69,0.2
225,1,0.0123,2.9629e+02,1.8176e+01,0.55,1.4878e+02,36145.96,1.3182e+02,2076.76,0.2
226,1,0.0123,2.9605e+02,1.8098e+01,0.55,1.4879e+02,36177.42,1.3183e+02,2077.01,0.2
227,1,0.0123,2.9649e+02,1.8281e+01,0.55,1.4883e+02,36151.77,1.3186e+02,2077.13,0.2
228,1,0.0124,2.9691e+02,1.8847e+01,0.55,1.4889e+02,36162.72,1.3193e+02,2077.73,0.3
229,1,0.0124,2.9624e+02,1.8106e+01,0.55,1.4879e+02,36150.99,1.3182e+02,2077.04,0.3
