Epoch,Stage,Train_Loss,Val_Phys_RMSE,M1_MAE,M1_RelErr(%),M2_MAE,M2_RelErr(%),M3_MAE,M3_RelErr(%),Time_Cost(s)
133,1,0.0717,2.2809e+02,9.7490e+01,3.62,3.6287e+01,14434.99,3.3525e+01,505.67,0.2
134,1,0.0784,2.2744e+02,8.0953e+01,2.81,3.5654e+01,13825.95,3.3292e+01,505.29,0.2
135,1,0.0831,2.2527e+02,8.8899e+01,3.45,3.6132e+01,14245.06,3.3623e+01,507.11,0.2
136,1,0.0768,2.7938e+02,1.2919e+02,3.18,3.4692e+01,13592.25,3.3786e+01,507.51,0.2
137,1,0.0949,2.2832e+02,8.8252e+01,2.95,3.5077e+01,13462.19,3.3055e+01,499.24,0.2
138,1,0.0754,2.2770e+02,9.3296e+01,3.06,3.5794e+01,14168.89,3.3156e+01,498.16,0.2
139,1,0.0684,2.3964e+02,9.9600e+01,3.18,3.4806e+01,13432.62,3.3277e+01,501.34,0.2
140,1,0.0678,2.6781e+02,1.1002e+02,2.87,3.4931e+01,13813.55,3.3679e+01,506.08,0.2
141,1,0.0615,2.6272e+02,1.0744e+02,3.03,3.6319e+01,14203.17,3.3205e+01,505.00,0.2
142,1,0.0669,2.8931e+02,1.2236e+02,2.99,3.4634e+01,13810.86,3.3774e+01,508.86,0.2
143,1,0.0632,2.2617e+02,8.7962e+01,2.97,3.5792e+01,13935.64,3.3258e+01,500.38,0.2
144,1,0.0554,2.2684e+02,8.0653e+01,2.67,3.5419e+01,13686.28,3.3187e+01,502.68,0.2
145,1,0.0629,2.4309e+02,9.3711e+01,2.91,3.4724e+01,13651.95,3.3421e+01,502.72,0.2
146,1,0.0702,2.8377e+02,1.3016e+02,3.12,3.6191e+01,13473.95,3.2678e+01,495.36,0.2
147,1,0.0647,2.2758e+02,8.3545e+01,2.83,3.5012e+01,13524.90,3.3427e+01,506.25,0.2
148,1,0.0641,2.3929e+02,1.1151e+02,3.62,3.5891e+01,14547.30,3.4083e+01,514.41,0.2
149,1,0.0679,2.2505e+02,9.4133e+01,3.36,3.6027e+01,14203.91,3.3830e+01,513.84,0.2
150,1,0.0878,2.3235e+02,1.0299e+02,3.05,3.5795e+01,14153.70,3.2924e+01,495.78,0.2
151,1,0.0971,2.8940e+02,1.3387e+02,3.28,3.4497e+01,13663.02,3.3893e+01,513.03,0.2
152,1,0.0793,2.4639e+02,1.1749e+02,3.32,3.5480e+01,14414.43,3.4002e+01,513.41,0.2
153,1,0.0735,2.2512e+02,8.5164e+01,2.90,3.5405e+01,13500.80,3.3165e+01,499.80,0.2
154,1,0.0686,2.4816e+02,1.0998e+02,3.23,3.5567e+01,13562.10,3.2710e+01,494.77,0.2
155,1,0.0774,2.4646e+02,1.2012e+02,3.53,3.6408e+01,14471.15,3.3099e+01,498.53,0.2
156,1,0.0732,2.9343e+02,1.1752e+02,2.86,3.6403e+01,14078.47,3.2974e+01,501.27,0.2
157,1,0.0532,2.4665e+02,8.7102e+01,2.68,3.5783e+01,13867.29,3.3034e+01,500.37,0.2
158,1,0.0467,2.4305e+02,8.8606e+01,2.66,3.5860e+01,13794.32,3.3076e+01,502.50,0.2
159,1,0.0448,2.2497e+02,7.1797e+01,2.45,3.5338e+01,13787.07,3.3521e+01,507.09,0.2
160,1,0.0456,2.3206e+02,7.3365e+01,2.44,3.5971e+01,14120.02,3.3315e+01,503.60,0.2
161,1,0.0521,2.2664e+02,8.2712e+01,2.68,3.5507e+01,14025.12,3.3687e+01,510.27,0.2
162,1,0.0583,2.2508e+02,8.4209e+01,2.81,3.5502e+01,13620.77,3.3019e+01,497.45,0.2
163,1,0.0615,2.2479e+02,7.4133e+01,2.45,3.5593e+01,13950.76,3.3563e+01,507.78,0.2
164,1,0.0439,2.2315e+02,6.4696e+01,2.32,3.5626e+01,13739.71,3.3352e+01,504.85,0.2
165,1,0.0422,2.2652e+02,8.5071e+01,2.63,3.5504e+01,13713.81,3.2967e+01,497.06,0.2
166,1,0.0532,2.2915e+02,7.7641e+01,2.36,3.5157e+01,13934.56,3.3620e+01,507.84,0.2
167,1,0.0404,2.2242e+02,6.7775e+01,2.35,3.5589e+01,13705.73,3.3264e+01,503.70,0.2
168,1,0.0439,2.2516e+02,7.2890e+01,2.63,3.6118e+01,14149.78,3.3498e+01,507.39,0.2
169,1,0.0475,2.2407e+02,6.4777e+01,2.39,3.5834e+01,14043.40,3.3521e+01,507.05,0.3
170,1,0.0447,2.2753e+02,7.8812e+01,2.58,3.5046e+01,13669.38,3.3411e+01,504.85,0.2
171,1,0.0436,2.2025e+02,6.0467e+01,2.18,3.5730e+01,13936.76,3.3403e+01,504.79,0.2
172,1,0.0364,2.2387e+02,6.5988e+01,2.30,3.5769e+01,13987.32,3.3519e+01,508.87,0.2
173,1,0.0413,2.3542e+02,7.3550e+01,2.33,3.6130e+01,13986.99,3.3355e+01,505.60,0.2
174,1,0.0373,2.2323e+02,6.0263e+01,2.12,3.5738e+01,13874.45,3.3361e+01,505.35,0.2
175,1,0.0359,2.2316e+02,6.0148e+01,2.17,3.5650e+01,13715.59,3.3321e+01,504.08,0.2
176,1,0.0373,2.2181e+02,6.3021e+01,2.18,3.5439e+01,13886.12,3.3483e+01,506.76,0.2
177,1,0.0369,2.2538e+02,6.3128e+01,2.18,3.5811e+01,13994.63,3.3413e+01,506.64,0.2
178,1,0.0381,2.2423e+02,6.4885e+01,2.19,3.5881e+01,13886.89,3.3523e+01,508.38,0.2
179,1,0.0410,2.2854e+02,6.5241e+01,2.13,3.5805e+01,13853.89,3.3280e+01,504.16,0.2
180,1,0.0356,2.2019e+02,5.8086e+01,2.10,3.5620e+01,13958.86,3.3420e+01,505.07,0.2
181,1,0.0358,2.2029e+02,6.2561e+01,2.15,3.5739e+01,13938.23,3.3395e+01,506.06,0.2
182,1,0.0381,2.2307e+02,6.3496e+01,2.20,3.5849e+01,13973.15,3.3323e+01,503.59,0.2
183,1,0.0379,2.2456e+02,6.3233e+01,2.13,3.5607e+01,13861.04,3.3243e+01,503.30,0.2
184,1,0.0462,2.3892e+02,8.6923e+01,2.34,3.5969e+01,13767.67,3.3044e+01,500.99,0.2
185,1,0.0577,2.2758e+02,8.5113e+01,2.71,3.5690e+01,14118.66,3.3795e+01,510.29,0.2
186,1,0.0566,2.1899e+02,7.1595e+01,2.68,3.5234e+01,13337.69,3.3100e+01,500.04,0.2
187,1,0.0441,2.1991e+02,6.0583e+01,2.15,3.5406e+01,13639.11,3.3294e+01,503.27,0.2
188,1,0.0392,2.2662e+02,7.4350e+01,2.27,3.5435e+01,13989.91,3.3734e+01,510.37,0.2
189,1,0.0490,2.2448e+02,6.9186e+01,2.35,3.5518e+01,13630.57,3.3095e+01,500.20,0.2
190,1,0.0487,2.2598e+02,7.6573e+01,2.30,3.5822e+01,13749.50,3.3102e+01,500.38,0.2
191,1,0.0508,2.3920e+02,9.0132e+01,2.59,3.5260e+01,14103.70,3.3861e+01,510.89,0.2
192,1,0.0525,2.2010e+02,6.6343e+01,2.35,3.5750e+01,14095.84,3.3634e+01,510.00,0.2
193,1,0.0429,2.2376e+02,6.5874e+01,2.13,3.5819e+01,13795.36,3.3214e+01,502.16,0.2
194,1,0.0334,2.2125e+02,5.7077e+01,2.03,3.5633e+01,13706.01,3.3308e+01,504.29,0.2
195,1,0.0316,2.1979e+02,5.5448e+01,2.02,3.5669e+01,13872.49,3.3356e+01,504.12,0.2
196,1,0.0311,2.2254e+02,5.7935e+01,1.99,3.5732e+01,13842.30,3.3315e+01,504.67,0.2
197,1,0.0297,2.1897e+02,5.5905e+01,1.98,3.5595e+01,13896.95,3.3426e+01,505.47,0.2
198,1,0.0323,2.1992e+02,5.8695e+01,2.05,3.5570e+01,13901.79,3.3560e+01,508.43,0.2
199,1,0.0307,2.2033e+02,5.7295e+01,2.00,3.5717e+01,13850.33,3.3326e+01,503.41,0.2
200,1,0.0300,2.1952e+02,5.2919e+01,1.92,3.5561e+01,13838.96,3.3388e+01,505.13,0.2
201,1,0.0302,2.2017e+02,5.3135e+01,1.92,3.5647e+01,13884.10,3.3398e+01,505.21,0.2
202,1,0.0299,2.2349e+02,5.7755e+01,1.95,3.5879e+01,13906.03,3.3357e+01,505.37,0.2
203,1,0.0294,2.1888e+02,5.6457e+01,1.97,3.5535e+01,13859.77,3.3529e+01,507.34,0.2
204,1,0.0310,2.2056e+02,5.2959e+01,1.92,3.5636e+01,13824.07,3.3360e+01,505.17,0.3
205,1,0.0291,2.2387e+02,5.6213e+01,1.90,3.5836e+01,13826.52,3.3346e+01,505.19,0.2
206,1,0.0288,2.1860e+02,5.4075e+01,1.94,3.5428e+01,13789.59,3.3443e+01,505.95,0.2
207,1,0.0301,2.2093e+02,5.3998e+01,1.89,3.5685e+01,13787.25,3.3322e+01,504.69,0.2
208,1,0.0300,2.1998e+02,5.4514e+01,1.96,3.5780e+01,13970.92,3.3381e+01,505.34,0.2
209,1,0.0295,2.2214e+02,5.5194e+01,1.93,3.5827e+01,13949.12,3.3406e+01,506.36,0.2
210,1,0.0330,2.2450e+02,6.1333e+01,2.01,3.5724e+01,13871.56,3.3253e+01,503.73,0.2
211,1,0.0332,2.2511e+02,6.1598e+01,1.96,3.5845e+01,13931.04,3.3343e+01,506.05,0.2
212,1,0.0325,2.1908e+02,5.5241e+01,1.98,3.5669e+01,13747.13,3.3309e+01,503.52,0.2
213,1,0.0306,2.1814e+02,5.1136e+01,1.87,3.5646e+01,13912.26,3.3451e+01,506.15,0.2
214,1,0.0276,2.1924e+02,5.3205e+01,1.90,3.5649e+01,13817.10,3.3314e+01,504.05,0.2
215,1,0.0299,2.1817e+02,5.3796e+01,1.92,3.5663e+01,13929.04,3.3496e+01,507.34,0.2
216,1,0.0275,2.2090e+02,5.4366e+01,1.88,3.5761e+01,13888.08,3.3357e+01,505.54,0.2
217,1,0.0273,2.2109e+02,5.3946e+01,1.87,3.5751e+01,13849.85,3.3331e+01,504.57,0.2
218,1,0.0281,2.1842e+02,5.2757e+01,1.89,3.5649e+01,13887.03,3.3491e+01,507.28,0.2
219,1,0.0277,2.1988e+02,5.2006e+01,1.86,3.5735e+01,13860.29,3.3377e+01,505.21,0.2
220,1,0.0287,2.1785e+02,5.0233e+01,1.86,3.5645e+01,13896.31,3.3440e+01,506.19,0.2
221,1,0.0263,2.1802e+02,5.0261e+01,1.86,3.5679e+01,13914.70,3.3443e+01,506.15,0.2
222,1,0.0262,2.1898e+02,4.9915e+01,1.81,3.5696e+01,13851.40,3.3400e+01,505.90,0.2
223,1,0.0270,2.1881e+02,5.0727e+01,1.84,3.5725e+01,13917.61,3.3425e+01,506.34,0.2
224,1,0.0266,2.1879e+02,4.9588e+01,1.81,3.5635e+01,13838.45,3.3381e+01,505.56,0.2
225,1,0.0271,2.2267e+02,5.7260e+01,1.88,3.5768e+01,13859.34,3.3284e+01,503.92,0.2
226,1,0.0308,2.1805e+02,4.8451e+01,1.79,3.5648e+01,13862.35,3.3450e+01,506.64,0.2
227,1,0.0274,2.1963e+02,5.1532e+01,1.84,3.5814e+01,13927.08,3.3407e+01,505.75,0.2
228,1,0.0263,2.1978e+02,5.0506e+01,1.81,3.5610e+01,13811.56,3.3329e+01,504.99,0.2
229,1,0.0258,2.1889e+02,5.0448e+01,1.86,3.5793e+01,13953.89,3.3472e+01,506.93,0.2
230,1,0.0262,2.1744e+02,4.8452e+01,1.79,3.5564e+01,13819.37,3.3413e+01,505.63,0.2
231,1,0.0259,2.2048e+02,5.2143e+01,1.84,3.5797e+01,13921.20,3.3388e+01,505.86,0.2
232,1,0.0267,2.1817e+02,5.0302e+01,1.82,3.5625e+01,13826.51,3.3430e+01,506.39,0.2
233,1,0.0265,2.1802e+02,5.0098e+01,1.83,3.5712e+01,13931.92,3.3418e+01,505.82,0.2
